in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.6,octadecene,15,trioctylphosphine,0.268,None,0,oleylamine,1,zinc undecylenate,0.5,None,0,15.598,230,10,None,462,522
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.4,octadecene,15,None,0,None,0,oleylamine,1,zinc undecylenate,0.5,None,0,15.33,230,10.5,None,463,572
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.6,octadecene,15,trioctylphosphine,0.27,None,0,oleylamine,1,zinc undecylenate,0.5,None,0,15.6,230,40,None,505,574
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.4,octadecene,15,None,0,None,0,oleylamine,1,zinc undecylenate,0.5,None,0,15.33,230,40,None,476,591
indium acetate,0.4,bis(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,7.6,285,8,None,537,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,7.6,285,8,None,537,None
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1,palmitic acid,0.45,None,0,None,0,None,0,11,305,15,None,486,None
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,1,palmitic acid,0.45,None,0,None,0,None,0,11,305,180,None,499,None
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,None,0,5.002,220,1,None,571,None
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,None,0,None,0,5.002,220,30,None,602,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,None,0,None,0,tetrabutylammonium myristate,0.24,None,0,7.6,285,8,None,545,None
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,0.9,None,0,5.002,220,1,None,537,None
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,1.32,None,0,5.002,220,1,None,532,None
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,None,0,5.002,180,1,None,461,None
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,water,1.2,5.002,180,1,None,438,None
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,None,0,5.002,180,3,None,496,None
indium chloride,0.3,tris(dimethylamino)phosphine,0.08,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,water,1.2,5.002,180,3,None,460,None
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,0.9,None,0,5.002,220,30,None,572,None
indium chloride,0.88,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,1.32,None,0,5.002,220,30,None,575,None
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.4,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,3.494,178,4,1.5,445,568
indium chloride,1.8,tris(dimethylamino)phosphine,3.84,None,0,trioctylphosphine,1.3,None,0,oleylamine,12,zinc chloride,4.4,None,0,5.249,180,2,2.2,444,None
indium acetate,1.2,tris(trimethylsilyl)phosphine,1.2,octadecene,3,None,0,None,0,oleylamine,1.5,None,0,None,0,3.494,178,32,2.5,543,589
indium chloride,0.45,tris(dimethylamino)phosphine,2.48,None,0,None,0,None,0,oleylamine,6.15,zinc chloride,2.2,None,0,2.024,200,20,2.6,553,592
indium myristate,2,tris(trimethylsilyl)phosphine,0.15,octadecene,5,trioctylphosphine,1,None,0,None,0,None,0,None,0,6,300,30,3,547,590
