in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,TOP,TOP_amount_mmol,acid,acid_amount_mmol,amine,amine_amount_mmol,thiol,thiol_amount_mmol,zinc,zinc_amount_mmol,other,other_amount_mmol,total_volume_ml,temp_c,time_min,abs_nm
indium acetate,2,tris(trimethylsilyl)phosphine,0.3,octadecene,6.5,None,0,myristic acid,8.2,octylamine,3.61,None,0,None,0,None,0,7.097,178,60,692
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,180,120,626
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,6.5,None,0,myristic acid,1.7,octylamine,1.52,None,0,None,0,None,0,6.752,150,120,574
indium acetate,0.15,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,2.242095008,palmitic acid,0.45,None,0,None,0,None,0,None,0,11,305,2,472
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,200,15,601
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,None,0,2,260,15,620
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.6,octadecene,15,trioctylphosphine,0.600881462,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.598,230,10,462
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.4,octadecene,15,None,0,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.33,230,10.5,463
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.6,octadecene,15,trioctylphosphine,0.605365652,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.6,230,40,505
indium chloride,0.5,tris(trimethylsilyl)phosphine,0.4,octadecene,15,None,0,None,0,oleylamine,1,None,0,zinc undecylenate,0.5,None,0,15.33,230,40,476
indium acetate,0.4,bis(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,None,0,7.6,285,8,537
indium acetate,0.4,tris(trimethylsilyl)phosphine,0.2,octadecene,7.6,None,0,myristic acid,1.45,None,0,None,0,None,0,None,0,7.6,285,8,537
